Bank|Saving|Fixed 3 mths|Fixed 6 mths|Fixed 12 mths|Fixed 24 mths
Bangkok Bank|0.5000 - 0.6250|1.0000|1.2500|1.3750 - 1.5000|1.5000
Krung Thai Bank|0.5000|0.9000|1.1500 - 1.3500|1.3000|1.4500
Kasikornbank|0.5000|0.6500 - 0.9000|0.9000 - 1.1500|1.0500 - 1.3000|1.2000 - 1.4500
The Siam Commercial Bank|0.5000|0.6500 - 0.9000|0.9000 - 1.1500|1.1500 - 1.4000|1.2000 - 1.4500
Bank of Ayudhya|0.3000|0.6500 - 0.9000|0.9000 - 1.2000|1.1500 - 1.4000|1.2000 - 1.5000
TMB Bank|0.1250|0.8000|1.0000|1.2000|1.5000
United Overseas Bank (Thai) Company Ltd.|0.2500|0.8000|1.0500|1.3000|1.4500
CIMB  THAI  Bank|0.4000|1.0500|1.3000|1.5500|1.5500
Standard Chartered Bank (Thai)|-|-|-|-|-
Thanachart Bank|0.2000 - 0.4000|0.9500|1.1500|1.4000|1.5000
TISCO Bank|0.2500 - 2.2500|1.3000|1.4000|1.5000|1.5500
Mega International Commercial Bank|0.2500|1.1000 - 1.4000|1.2500 - 1.6500|1.4000 - 1.7500|1.7000 - 1.7500
Kiatnakin Bank|0.5000|1.1500 - 1.3000|1.2500 - 1.4000|1.3500 - 1.5000|1.4000 - 1.5500
Land and Houses  Bank|0.6250 - 1.2500|1.3000|1.4000|1.7500|1.8000
Industrial and Commercial Bank of China (Thai)|0.6250 - 1.5000|1.4000 - 1.4500|1.5000 - 1.5500|1.6000 - 1.6500|1.7000 - 1.7500
The Thai Credit Retail Bank|0.7000|1.4000|1.5500|1.7500 - 1.8500|1.7000
Bank of China (Thai)|0.5000|1.2500 - 1.5000|1.3750 - 1.5000|1.4500 - 1.6250|1.5000 - 1.6250
ANZ Bank (Thai) Public Company Limited|-|-|-|-|-
Sumitomo Mitsui Trust Bank (Thai) |0.0500|0.2500|0.2500|0.2500|-
Min - Max of Commercial Banks registered in Thailand|0.0500 - 2.2500|0.2500 - 1.5000|0.2500 - 1.6500|0.2500 - 1.8500|1.2000 - 1.8000
Foreign Bank Branches|||||
Citibank|0.3000|0.6000|0.7000 - 1.2000|0.7000 - 1.2500|0.7000
Sumitomo Mitsui Banking Corporation|0.1000|0.2500|0.3500|0.5000|-
HONGKONG AND SHANGHAI BANKING CORPORATION|-|1.2000 - 1.5000|1.3500 - 1.6500|1.6500 - 1.9000|1.8000 - 2.0000
Deutsche Bank AG.|-|-|-|-|-
JP Morgan Chase Bank|-|-|-|-|-
Bank of America, National Association|- - 0.2000|-|0.2500|0.2500|-
Indian Overseas Bank|0.7500 - 1.0000|1.2000 - 1.3000|1.4000 - 1.5000|1.5000 - 1.6000|1.5000 - 1.6000
RHB Bank Berhad|0.8500 - 1.1000|1.1500 - 1.2500|1.3500 - 1.4500|1.5500 - 1.7500|-
Oversea Chinese Banking Corporation|0.3500|- - 0.6500|- - 0.7500|- - 0.7500|-
Mizuho Bank|0.1000 - 0.4000|-|-|-|-
BNP Paribas|-|-|-|-|-
Min - Max of Foreign Bank Branches|0.1000 - 1.1000|0.2500 - 1.5000|0.2500 - 1.6500|0.2500 - 1.9000|0.7000 - 2.0000
