Bank|MOR|MLR|MRR|Ceiling|Default|Credit Card
Bangkok Bank|6.8750|6.0000|6.8750|18.0000|21.8750|18.0000
Krung Thai Bank|6.8700|6.0250|6.8700|17.1200|19.8750|-
Kasikornbank|6.8700|6.0000|6.8700|23.1000|25.1000|18.0000
The Siam Commercial Bank|6.7450|6.0250|6.8700|28.0000|28.0000|18.0000
Bank of Ayudhya|6.9500|6.3500|6.9500|21.0000|28.0000|-
TMB Bank|7.1750|6.6500|7.1500|28.0000|28.0000|18.0000
United Overseas Bank (Thai) Company Ltd.|7.4500|7.0250|7.7500|28.0000|28.0000|18.0000
CIMB  THAI  Bank|7.5000|7.0000|7.8750|28.0000|28.0000|18.0000
Standard Chartered Bank (Thai)|8.1000|7.8500|-|15.0000|15.0000|-
Thanachart Bank|7.1750|6.6500|7.1500|14.6500|18.0000|9.9000 - 18.0000
TISCO Bank|8.1000|7.8500|12.7500|36.0000|36.0000|-
Mega International Commercial Bank|8.0000|7.2500|8.0000|12.0000|15.0000|-
Kiatnakin Bank|7.4500|7.1500|7.6500|28.0000|28.0000|-
Land and Houses  Bank|7.6500|7.0250|7.7500|18.0000|18.0000|-
Industrial and Commercial Bank of China (Thai)|7.4250|7.1500|7.6750|21.0000|-|18.0000
The Thai Credit Retail Bank|8.5300|8.3500|9.0500|35.0000|36.0000|-
Bank of China (Thai)|8.5000|6.5000|7.7500|12.7500|22.2500|18.0000
ANZ Bank (Thai) Public Company Limited|8.2500|8.2500|-|25.0000|-|-
Sumitomo Mitsui Trust Bank (Thai) |9.8750|6.5000|8.5000|15.0000|15.0000|-
Average of Commercial Banks registered in Thailand|7.6574|6.9263|7.8521|22.2958|24.1235|18.0000
Foreign Bank Branches||||||
Citibank|-|7.2500|-|20.3200|45.6300|18.0000
Sumitomo Mitsui Banking Corporation|9.8750|6.3750|7.8750|14.2500|15.0000|-
HONGKONG AND SHANGHAI BANKING CORPORATION|8.2500|8.2500|8.2500|21.0000|32.2500|19.0000 - 20.0000
Deutsche Bank AG.|8.2500|8.2500|7.5000|20.0000|22.0000|-
JP Morgan Chase Bank|7.0000|7.0000|-|14.0000|21.0000|-
Bank of America, National Association|8.0000|7.5000|10.5000|13.5000|22.0000|-
Indian Overseas Bank|8.5000|8.2500|8.5000|12.0000|15.0000|-
RHB Bank Berhad|9.7500|9.5000|9.7500|20.0000|20.0000|-
Oversea Chinese Banking Corporation|8.2500|8.2500|-|15.0000|25.0000|-
Mizuho Bank|9.8750|6.7500|7.7500|28.0000|28.0000|-
BNP Paribas|8.0000|8.0000|-|8.0000|19.0000|-
Average of Foreign Bank Branches|8.5750|7.7614|8.5893|16.9155|24.0800|19.0000
